,Temperature,Cool Rate,Final Score,Compute Time
141,4000.0,0.955,6465,81.19989228248596
142,4000.0,0.96,4484,58.76600003242493
143,4000.0,0.965,6095,87.0670280456543
144,4000.0,0.97,6253,83.58763599395752
145,4000.0,0.975,3654,54.178719997406006
146,4000.0,0.98,4895,67.1747362613678
147,4000.0,0.985,4082,55.30271816253662
148,4000.0,0.99,5133,69.70480513572693
149,4000.0,0.995,4360,60.11204791069031
150,4250.0,0.95,5163,73.22967410087585
151,4250.0,0.955,5055,73.75562906265259
152,4250.0,0.96,3439,54.8657112121582
153,4250.0,0.965,5339,73.83954620361328
154,4250.0,0.97,4010,58.00813817977905
155,4250.0,0.975,3594,54.57321310043335
156,4250.0,0.98,4998,64.3692479133606
157,4250.0,0.985,4112,59.10652995109558
158,4250.0,0.99,4624,67.11311197280884
159,4250.0,0.995,4921,65.21749901771545
160,4500.0,0.95,4159,64.40015172958374
161,4500.0,0.955,4373,63.32821297645569
162,4500.0,0.96,4332,65.74745392799377
163,4500.0,0.965,4797,66.3514232635498
164,4500.0,0.97,5192,71.31616592407227
165,4500.0,0.975,3992,59.82853603363037
166,4500.0,0.98,4924,63.07987689971924
167,4500.0,0.985,5353,73.66625380516052
168,4500.0,0.99,3915,54.989404916763306
169,4500.0,0.995,7261,89.27954912185669
170,4750.0,0.95,4202,61.02627778053284
171,4750.0,0.955,4692,64.6089859008789
172,4750.0,0.96,6297,83.0653178691864
173,4750.0,0.965,6485,74.97538185119629
174,4750.0,0.97,5541,77.50059962272644
175,4750.0,0.975,4011,56.44187116622925
176,4750.0,0.98,4526,63.63613700866699
177,4750.0,0.985,3661,51.1032030582428
178,4750.0,0.99,4626,69.61725211143494
179,4750.0,0.995,5918,69.00768208503723
180,5000.0,0.95,5173,65.9495301246643
181,5000.0,0.955,4259,57.74535298347473
182,5000.0,0.96,3281,52.31418585777283
183,5000.0,0.965,5412,68.86737203598022
184,5000.0,0.97,5180,63.732547998428345
185,5000.0,0.975,4865,70.07137894630432
186,5000.0,0.98,3575,55.375908851623535
187,5000.0,0.985,3858,51.104955196380615
188,5000.0,0.99,4085,59.53856420516968
189,5000.0,0.995,7563,92.3538589477539
190,5250.0,0.95,4129,61.203492879867554
191,5250.0,0.955,4473,69.3194191455841
192,5250.0,0.96,4618,64.82774710655212
193,5250.0,0.965,5363,74.6838960647583
194,5250.0,0.97,4548,65.4230649471283
195,5250.0,0.975,6368,78.78531885147095
196,5250.0,0.98,3098,46.70285105705261
197,5250.0,0.985,5828,77.48081398010254
198,5250.0,0.99,5544,68.35793113708496
199,5250.0,0.995,4262,58.61280012130737
200,5500.0,0.95,4187,57.5858108997345
201,5500.0,0.955,4829,65.10742807388306
202,5500.0,0.96,4212,58.85408115386963
203,5500.0,0.965,4135,63.368354082107544
204,5500.0,0.97,5396,74.2300820350647
205,5500.0,0.975,4376,58.557193994522095
206,5500.0,0.98,4370,57.849528074264526
207,5500.0,0.985,5519,74.04344511032104
208,5500.0,0.99,3939,55.65903902053833
209,5500.0,0.995,4811,65.65857315063477
210,5750.0,0.95,4820,67.56040287017822
211,5750.0,0.955,4425,58.73811912536621
